mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,fit_time
230.0359920501709,11.19775685606567,24.68073172569275,1.0390050488191394,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7134146341463414,0.6731707317073171,0.6621951219512195,0.6878048780487804,0.6670731707317074,0.6807317073170731,0.01846906830989514,9,254.71672377586364
136.20180854797363,2.992822921292086,26.70150089263916,0.7898723011714995,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.7073170731707317,0.6951219512195121,0.6817073170731708,0.7207317073170731,0.6939024390243902,0.6997560975609756,0.013256271455318217,8,162.9033094406128
135.88605818748474,3.0652903705108847,34.84119272232056,2.9975511496694964,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6731707317073171,0.675609756097561,0.6585365853658537,0.6780487804878049,0.6621951219512195,0.6695121951219513,0.007712872341874103,15,170.7272509098053
230.1515741825104,15.664112520574738,24.69379940032959,2.0728308429800726,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.7134146341463414,0.6731707317073171,0.6621951219512195,0.6878048780487804,0.6670731707317074,0.6807317073170731,0.01846906830989514,9,254.84537358283998
114.5210205078125,5.929637902142538,15.881985330581665,1.3031736586209566,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.7341463414634146,0.7012195121951219,0.6890243902439024,0.7085365853658536,0.6829268292682927,0.703170731707317,0.01789984695795977,5,130.40300583839417
161.83440480232238,4.269214525463293,51.78118104934693,2.6684665517815818,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5231707317073171,0.5231707317073171,0.5231707317073171,0.5231707317073171,0.5219512195121951,0.5229268292682927,0.0004878048780487809,16,213.61558585166932
229.91887578964233,8.214016362205385,23.229476547241212,0.7106929864029679,1,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7134146341463414,0.6731707317073171,0.6621951219512195,0.6878048780487804,0.6670731707317074,0.6807317073170731,0.01846906830989514,9,253.14835233688353
127.58400101661682,3.7023411537962687,27.214102220535278,1.2145788760145968,1,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.7475609756097561,0.7317073170731707,0.7073170731707317,0.725609756097561,0.7207317073170731,0.7265853658536585,0.013211319574586199,2,154.7981032371521
122.9306529045105,4.811865118479055,35.856856441497804,1.8453148622059041,1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7268292682926829,0.7134146341463414,0.6963414634146341,0.7036585365853658,0.6926829268292682,0.7065853658536586,0.012355048918940442,4,158.7875093460083
224.5986268043518,11.750619370812442,24.22850685119629,1.8729116895553444,1,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.7134146341463414,0.6731707317073171,0.6621951219512195,0.6878048780487804,0.6670731707317074,0.6807317073170731,0.01846906830989514,9,248.8271336555481
109.12332530021668,2.26308516510074,18.359792709350586,1.960332917416241,1,auto,poly,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.7341463414634146,0.7012195121951219,0.6890243902439024,0.7085365853658536,0.6829268292682927,0.703170731707317,0.01789984695795977,5,127.48311800956726
162.72175908088684,2.183017795849414,49.09658117294312,2.1108600164910665,1,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5231707317073171,0.5231707317073171,0.5231707317073171,0.5231707317073171,0.5219512195121951,0.5229268292682927,0.0004878048780487809,16,211.81834025382994
225.82456045150758,10.490962599070654,17.90358018875122,2.491022479876877,10,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.7134146341463414,0.6731707317073171,0.6621951219512195,0.6878048780487804,0.6670731707317074,0.6807317073170731,0.01846906830989514,9,243.7281406402588
132.13078994750975,2.0353835444549437,23.945351457595827,0.775171084320444,10,scale,poly,"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.7536585365853659,0.723170731707317,0.7109756097560975,0.7207317073170731,0.7219512195121951,0.7260975609756096,0.014441825700573148,3,156.07614140510557
111.47053289413452,1.832248174580687,30.87282338142395,1.6963149323547024,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7951219512195122,0.774390243902439,0.7658536585365854,0.748780487804878,0.7463414634146341,0.7660975609756097,0.017896523246677228,1,142.34335627555848
166.1319987297058,15.172447108990154,7.555413389205933,2.045353872436015,10,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.7134146341463414,0.6731707317073171,0.6621951219512195,0.6878048780487804,0.6670731707317074,0.6807317073170731,0.01846906830989514,9,173.68741211891174
93.21118206977845,3.1068588170952953,8.243118286132812,0.07370481789394741,10,auto,poly,"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.7341463414634146,0.7012195121951219,0.6890243902439024,0.7085365853658536,0.6829268292682927,0.703170731707317,0.01789984695795977,5,101.45430035591126
100.46511936187744,3.717324004112919,14.38793978691101,1.1794754121951951,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.5231707317073171,0.5231707317073171,0.5231707317073171,0.5231707317073171,0.5219512195121951,0.5229268292682927,0.0004878048780487809,16,114.85305914878845
